brand,ingredient,count,share
OMOROVICZA,Glycerin,4,0.034482758620689655
OMOROVICZA,Yeast Extract,4,0.034482758620689655
OMOROVICZA,Cetearyl Olivate,3,0.02586206896551724
OMOROVICZA,Citronellol,3,0.02586206896551724
OMOROVICZA,Ethylhexylglycerin,3,0.02586206896551724
OMOROVICZA,Phospholipids,3,0.02586206896551724
OMOROVICZA,Sodium Hydroxide,3,0.02586206896551724
OMOROVICZA,Benzyl Alcohol,2,0.017241379310344827
OMOROVICZA,Cetearyl Alcohol,2,0.017241379310344827
OMOROVICZA,Geraniol,2,0.017241379310344827
OMOROVICZA,Hungarian Thermal Water,2,0.017241379310344827
OMOROVICZA,Kaolin,2,0.017241379310344827
OMOROVICZA,Lactic Acid,2,0.017241379310344827
OMOROVICZA,Leuconostoc/Radish Root Ferment Filtrate,2,0.017241379310344827
OMOROVICZA,Limonene,2,0.017241379310344827
