brand,ingredient,count,share
NURSE JAMIE,-Silicone Wrap: Creates a hydrating climate for intense moisture. -Epidermal Growth Factor: Increases cell renewal. -Plant Stem Cells: Assist in fighting free-radicals and sun damage. -Hyaluronic Acid: Moisturizes the skin and promotes enhanced volume. EGF Botanical Complex: Water,1,0.024390243902439025
NURSE JAMIE,Algae Extract,1,0.024390243902439025
NURSE JAMIE,Allantoin,1,0.024390243902439025
NURSE JAMIE,Ammonium Acryloyldimethyltaurate/VP Copolymer,1,0.024390243902439025
NURSE JAMIE,Butyrospermum Parkii (Shea Butter),1,0.024390243902439025
NURSE JAMIE,Camellia Sinensis Leaf Extract,1,0.024390243902439025
NURSE JAMIE,Caprylic/Capric Triglyceride,1,0.024390243902439025
NURSE JAMIE,Cetearyl Ethylhexanoate,1,0.024390243902439025
NURSE JAMIE,Cetyl Esters,1,0.024390243902439025
NURSE JAMIE,Dimethicone,1,0.024390243902439025
NURSE JAMIE,Dimethicone PEG-8 Meadowfoamate,1,0.024390243902439025
NURSE JAMIE,Dimethyl Lauramine Oleate,1,0.024390243902439025
NURSE JAMIE,Ethyl Macadamiate,1,0.024390243902439025
NURSE JAMIE,Ethylhexylglycerin,1,0.024390243902439025
NURSE JAMIE,Fragrance.,1,0.024390243902439025
